"Ord_id","Prod_id","Ship_id","Cust_id","Sales","Discount","Order_Quantity","Profit","Shipping_Cost","Product_Base_Margin"
"Ord_5446","Prod_16","SHP_7609","Cust_1818",136.81,0.01,23,-30.51,3.6,0.56
"Ord_5406","Prod_13","SHP_7549","Cust_1818",42.27,0.01,13,4.56,0.93,0.54
"Ord_5446","Prod_4","SHP_7610","Cust_1818",4701.69,0,26,1148.9,2.5,0.59
"Ord_5456","Prod_6","SHP_7625","Cust_1818",2337.89,0.09,43,729.34,14.3,0.37
"Ord_5485","Prod_17","SHP_7664","Cust_1818",4233.15,0.08,35,1219.87,26.3,0.38
"Ord_5446","Prod_6","SHP_7608","Cust_1818",164.02,0.03,23,-47.64,6.15,0.37
"Ord_31","Prod_12","SHP_41","Cust_26",14.76,0.01,5,1.32,0.5,0.36
"Ord_4725","Prod_4","SHP_6593","Cust_1641",3410.1575,0.1,48,1137.91,0.99,0.55
"Ord_4725","Prod_13","SHP_6593","Cust_1641",162,0.01,33,45.84,0.71,0.52
"Ord_4725","Prod_6","SHP_6593","Cust_1641",57.22,0.07,8,-27.72,6.6,0.37
"Ord_4743","Prod_2","SHP_6615","Cust_1641",4072.01,0.01,43,1675.98,0.99,0.56
"Ord_1925","Prod_6","SHP_2637","Cust_708",465.9,0.05,38,79.34,4.86,0.38
"Ord_2978","Prod_16","SHP_4112","Cust_1088",305.05,0.04,27,23.12,3.37,0.57
"Ord_2207","Prod_11","SHP_3093","Cust_839",3364.248,0.1,15,-693.23,61.76,0.78
"Ord_2207","Prod_10","SHP_3006","Cust_839",1410.93,0.08,10,-317.48,36.09,0.77
"Ord_2280","Prod_5","SHP_3114","Cust_839",460.69,0.06,48,-103.48,7.29,0.45
"Ord_2282","Prod_9","SHP_3122","Cust_839",443.46,0.06,30,193.12,1.39,0.38
"Ord_4471","Prod_15","SHP_6228","Cust_1521",13255.93,0.02,25,4089.27,26,0.6
"Ord_4427","Prod_6","SHP_6171","Cust_1521",283.13,0.08,45,-141.26,6.81,0.36
"Ord_996","Prod_13","SHP_1378","Cust_371",41.97,0.05,12,-37.03,4.2,0.56
"Ord_996","Prod_13","SHP_1378","Cust_371",57.17,0.08,18,-24.03,2.31,0.56
"Ord_996","Prod_6","SHP_1378","Cust_371",81.25,0.01,11,-44.54,7.86,0.37
"Ord_996","Prod_5","SHP_1377","Cust_371",3202.25,0.09,44,991.26,19.99,0.43
"Ord_996","Prod_7","SHP_1378","Cust_371",35.64,0.05,10,-0.71,1.63,0.36
"Ord_2573","Prod_3","SHP_3525","Cust_931",197.61,0.08,13,3.46,7.27,0.38
"Ord_2335","Prod_13","SHP_3204","Cust_931",38.26,0.03,22,-2.34,0.7,0.56
"Ord_2456","Prod_5","SHP_3367","Cust_931",109.58,0,13,31.32,4,0.42
"Ord_2405","Prod_9","SHP_3300","Cust_931",1062.69,0.01,28,401.8,6.66,0.4
"Ord_2573","Prod_4","SHP_3527","Cust_931",3594.7435,0.05,38,1016.97,2.5,0.55
"Ord_2478","Prod_12","SHP_3395","Cust_931",139.98,0.07,33,-140.54,6.89,0.39
"Ord_2334","Prod_9","SHP_3203","Cust_931",129.1,0,27,-59.82,4.99,0.38
"Ord_2573","Prod_7","SHP_3526","Cust_931",68.92,0.04,22,2.63,1.58,0.39
"Ord_2343","Prod_6","SHP_3215","Cust_931",76.16,0.04,12,-24.03,5.2,0.36
"Ord_5046","Prod_17","SHP_7042","Cust_1710",630.99,0.07,49,-114.64,9.44,0.39
"Ord_5040","Prod_3","SHP_7033","Cust_1710",193.84,0.07,23,-117.1,8.94,0.4
"Ord_5033","Prod_2","SHP_7022","Cust_1710",139,0.05,16,-96.33,9.23,0.58
"Ord_5029","Prod_13","SHP_7016","Cust_1710",54.79,0.05,9,-6.82,2.27,0.56
"Ord_5040","Prod_2","SHP_7032","Cust_1710",1637.78,0.08,38,461.65,4.62,0.56
"Ord_5035","Prod_12","SHP_7025","Cust_1710",416.8,0.01,32,223.38,0.5,0.38
"Ord_5045","Prod_5","SHP_7040","Cust_1710",1286.87,0.05,48,384.38,6.93,0.49
"Ord_5035","Prod_15","SHP_7024","Cust_1710",4917.69,0.02,42,126.31,30,0.71
"Ord_5046","Prod_7","SHP_7041","Cust_1710",202.11,0.08,40,-17.49,3.39,0.37
"Ord_1184","Prod_11","SHP_1635","Cust_452",73.44,0,3,-53.78,27.75,0.76
"Ord_1189","Prod_6","SHP_1641","Cust_452",49.61,0,1,-41.82,17.08,0.4
"Ord_1184","Prod_1","SHP_1634","Cust_452",1974.66,0.06,32,-929.68,35,0.8
"Ord_4768","Prod_12","SHP_6650","Cust_1579",3.85,0.08,1,-1.36,0.99,0.37
"Ord_4690","Prod_2","SHP_6545","Cust_1579",904.12,0.07,4,28.81,11.79,0.42
"Ord_4659","Prod_6","SHP_6493","Cust_1579",1451.59,0.06,26,435.11,14.3,0.37
"Ord_4622","Prod_12","SHP_6437","Cust_1579",56.26,0,14,28.11,0.5,0.38
"Ord_4657","Prod_5","SHP_6490","Cust_1579",336.86,0.06,23,36.32,5.3,0.46
"Ord_4682","Prod_5","SHP_6531","Cust_1579",63.91,0.04,14,-44.47,6.6,0.49
"Ord_4768","Prod_4","SHP_6651","Cust_1579",547.0005,0.08,10,-97.2,3.9,0.55
"Ord_4755","Prod_13","SHP_6628","Cust_1579",3.41,0.06,1,-1.78,0.7,0.56
"Ord_4659","Prod_6","SHP_6492","Cust_1579",391.9,0.1,11,-47.01,19.99,0.38
"Ord_4682","Prod_4","SHP_6531","Cust_1579",1909.0065,0.01,32,344.13,8.99,0.59
"Ord_4657","Prod_5","SHP_6489","Cust_1579",418.03,0,47,-158.58,7.96,0.49
"Ord_4410","Prod_5","SHP_6146","Cust_1474",605.77,0.05,42,129.33,5,0.49
"Ord_4546","Prod_1","SHP_6327","Cust_1474",5208.78,0.05,34,1547.78,7.07,0.59
"Ord_4499","Prod_6","SHP_6264","Cust_1474",67.49,0.06,1,-22.82,14.3,0.37
"Ord_4552","Prod_4","SHP_6335","Cust_1474",284.4525,0.06,5,-254.78,8.99,0.58
"Ord_4552","Prod_12","SHP_6335","Cust_1474",104.7,0.09,29,42.16,0.5,0.38
"Ord_4497","Prod_13","SHP_6261","Cust_1474",211.97,0.06,10,-46.83,8.99,0.59
"Ord_4410","Prod_6","SHP_6146","Cust_1474",1480.91,0,44,489.14,8.74,0.4
"Ord_4499","Prod_13","SHP_6265","Cust_1474",6.76,0.02,3,-4.28,1.57,0.59
"Ord_4475","Prod_4","SHP_6234","Cust_1474",7640.225,0.07,46,2027.68,2.5,0.59
"Ord_4547","Prod_6","SHP_6328","Cust_1474",23.44,0.05,3,-10.58,5.2,0.36
"Ord_4360","Prod_11","SHP_6079","Cust_1474",1736.41,0.1,12,-762.44,80.2,0.71
"Ord_4541","Prod_2","SHP_6322","Cust_1474",336.65,0.07,30,-71.05,6.96,0.5
